"date","tags","title","cover","summary","pdf"
"2018-03-09","2018,Editais","Edital de Seleção da V Mostra Itinerante de Cinema do Ceará","http://editais.cultura.ce.gov.br/wp-content/uploads/sites/18/2018/07/cinema-itinerante-Capa-sem-marca.jpg","A Secretária da Cultura do Estado do Ceará, no uso de suas atribuições legais, e considerando a Lei nº 16.026, de 01 de junho de 2016, que institui o Plano Estadual da Cultura, bem como as normas e princípios alicerçados na Constituição Federal de 1988; a Lei Estadual Nº 13.811, de 16 de Agosto de 2006, que Institui o Sistema Estadual de Cultura (SIEC); a Lei n º 16.319, de 14 de agosto de 2017, que dispõe sobre as Diretrizes para a elaboração e execução da Lei Orçamentária para o exercício de 2018; o disposto na Lei Complementar nº 119, de 28 de dezembro de 2012, sobre regras para a transferência de recursos financeiros pelos órgãos e entidades do Poder Executivo estadual por meio de convênios e instrumentos congêneres, bem como seus decretos regulamentadores, com suas alterações; a Lei federal nº 13.019, de 31 de julho de 2014 que estabelece o Marco Regulatório das Organizações da Sociedade Civil (MROSC); Termo de Convênio 825570/2015 MINC/SECULT CE e, no que couber, às demais legislações aplicadas à matéria, torna público o edital que regulamenta o processo de inscrição e seleção pública de instituição parceira para a realização da V Mostra Itinerante de Cinema do Ceará.","http://mapa.cultura.ce.gov.br/files/project/1004/edital_de_selecao_da_v_mostra_itinerante_de_cinema.pdf"
"2018-05-16","2017,Editais","Edital Tesouros Vivos da Cultura do Estado do Ceará – 2017","http://editais.cultura.ce.gov.br/wp-content/uploads/sites/18/2018/07/EDITAL-Tesouros-Vivos-2017-sem-marca.jpg","",""
"2019-07-15","2019,Natal de Luz,Sem categoria","XVI Edital Ceará Ciclo Natalino 2019","http://editais.cultura.ce.gov.br/wp-content/uploads/sites/18/2019/07/Edital-Natal-de-Luz.jpeg","O XVI Edital Ceará Ciclo Natalino – 2019 é uma ação consolidada da política de Patrimônio Cultural para o fomento de bens, produtos e serviços relacionados às manifestações populares do ciclo natalino das várias regiões do Estado do Ceará.","https://mapacultural.secult.ce.gov.br/files/opportunity/1498/xvi-edital-ceara-ciclo-natalino-2019.pdf"
"2017-09-06","2017,Editais,Mecenas","X Edital Mecenas do Ceará","http://editais.cultura.ce.gov.br/wp-content/uploads/sites/18/2018/07/Edital-Mecenas-sem-marca.jpg","A Secretária da Cultura do Estado do Ceará, no uso de suas atribuições legais, e considerando a Lei Estadual Nº 13.811, de 16 de agosto de 2006, que institui o Sistema Estadual de Cultura (SIEC); o Decreto Estadual Nº 28.442, de 30 de outubro de 2006; Lei nº 16.084, 27 de julho de 2016, que dispõe sobre as Diretrizes para a elaboração e execução da Lei Orçamentária para o exercício de 2017; Decreto Estadual nº 31.871, de 30 de dezembro de 2015; Decreto Estadual nº 32.316, de 25 de agosto de 2017; Instrução Normativa nº 01, de 29 de junho de 2016; Lei nº 16.026, de 1º de junho de 2016, que institui o Plano Estadual da Cultura (PEC); subsidiariamente Lei nº 8.666, de 21 de junho de 1993; Lei nº 13.146, de 06 de julho de 2015 e, no que couber, às demais legislações aplicadas à matéria, torna público o X EDITAL MECENAS DO CEARÁ, que regulamenta o processo de inscrição e seleção pública de projetos de várias áreas culturais que visem a captação de recursos através do Mecenato Estadual.","http://mapa.cultura.ce.gov.br/files/project/732/x-edital-mecenas.pdf"
"2017-10-09","2018,Editais,Eleições CEPC","Edital de Convocação para Eleição do novo Conselho Estadual de Política Cultural do Ceará","http://editais.cultura.ce.gov.br/wp-content/uploads/sites/18/2018/07/CEPC-CE-inscirções-abertas-sem-marca.jpg","O Conselho Estadual de Política Cultural do Ceará (CEPC) é um órgão colegiado permanente, de caráter normativo, deliberativo, fiscalizatório e consultivo, de composição majoritária da sociedade civil, integrante do Sistema Estadual de Cultura, vinculado administrativa e financeiramente à Secretaria da Cultura do Ceará, com a atribuição de institucionalizar as relações entre a administração pública estadual e os diversos setores da sociedade civil, com a finalidade de promover uma gestão democrática e autônoma da política cultural no Estado do Ceará, conforme Lei Estadual No 15.552 de 31 de março de 2014.","http://rede.cultura.ce.gov.br/editais/wp-content/uploads/sites/18/2017/10/edital-de-convocao-eleio-cepc-ce-20182f2020.pdf"
"2017-12-20","2018,Convocatória,Editais,Para ver a Banda","Convocatória – Programa Pra Ver a Banda Temporada 2018.1","http://editais.cultura.ce.gov.br/wp-content/uploads/sites/18/2018/07/pra-ver-a-banda-convocatoria-sem-marca-1.jpg","SecretarCredenciamento e Seleção de Bandas de Música para compor a programação da Rede de Equipamentos da Secretaria da Cultura do Estado do Ceará. O Secretário da Cultura do Estado do Ceará, no uso de suas atribuições legais, e considerando a Lei nº 16.026, de 01 de junho de 2016, que institui o Plano Estadual da Cultura; a Lei Estadual nº 13.811, de 16 de agosto de 2006, que Institui o Sistema Estadual de Cultura (SIEC), bem como seu Decreto nº 28.442, de 30 de outubro de 2006, torna público o processo de credenciamento e convocatória que regulamenta a temporada 2018.1 do Programa “Pra Ver a Banda” como ação que integra as políticas no âmbito do Sistema Estadual de Bandas de Música (SEBAM).","http://mapa.cultura.ce.gov.br/files/project/859/minuta-praverbanda-convocatoria.pdf"
"2017-11-13","2018,Ceará da Paixão,Editais","XIV Edital Ceará da Paixão 2018","http://editais.cultura.ce.gov.br/wp-content/uploads/sites/18/2018/07/Edital-Ceará-Paixao-2018-sem-marca.jpg","O Secretário da Cultura do Estado do Ceará, no uso de suas atribuições legais, e considerando a Lei nº 16.026, de 01 de junho de 2016, que institui o Plano Estadual da Cultura; bem como as normas e princípios alicerçados na Constituição Federal de 1988; a Lei Estadual Nº 13.811, de 16 de agosto de 2006, que Institui o Sistema Estadual de Cultura (Siec); a Lei nº 16. 319, de 14 de agosto de 2017, que dispõe sobre as Diretrizes para a elaboração e execução da Lei Orçamentária para o exercício de 2018; o disposto na Lei Complementar nº 119, de 28 de dezembro de 2012, sobre regras para a transferência de recursos financeiros pelos Órgãos e Entidades do Poder Executivo Estadual por meio de convênios e instrumentos congêneres, bem como seus decretos regulamentadores; a Instrução de Normativa nº 03 de 23 de agosto de 2017; a Lei Federal nº 13.019, de 31 de julho de 2014, com suas alterações, a Lei do Marco Regulatório das Organizações da Sociedade Civil (MROSC), que estabelece o regime jurídico das parcerias entre a Administração Pública e as organizações da sociedade civil, em regime de mútua cooperação, para a consecução de finalidades de interesse público e recíproco; e, no que couber, às demais legislações aplicadas à matéria, torna público o processo de inscrição e seleção pública que regulamenta o XIV Edital Ceará da Paixão – 2018.","http://mapa.cultura.ce.gov.br/files/project/837/xiv-edital-ceara-da-paixao-2018.pdf"
"2017-08-22","2017,Editais,Mestres do Mundo","Edital de Seleção do XI Encontro Mestres do Mundo – 2017","http://editais.cultura.ce.gov.br/wp-content/uploads/sites/18/2018/07/EDITAL-Mestre-da-Cultura-sem-marca.jpg","A Secretária da Cultura do Estado do Ceará, no uso de suas atribuições legais, e considerando a Lei nº 13.842, de 27 de novembro de 2006, que institui o Registro dos “Tesouros Vivos da Cultura” no Estado do Ceará; Lei nº 16.026, de 01 de junho de 2016, que institui o Plano Estadual da Cultura, bem como as normas e princípios alicerçados na Constituição Federal de 1988; a Lei Estadual Nº 13.811, de 16 de Agosto de 2006, que Institui o Sistema Estadual de Cultura (SIEC); a Lei nº 16.084, 27 de julho de 2016, que dispõe sobre as Diretrizes para a elaboração e execução da Lei Orçamentária para o exercício de 2017; o disposto na Lei Complementar nº 119, de 28 de dezembro de 2012, sobre regras para a transferência de recursos financeiros pelos órgãos e entidades do Poder Executivo estadual por meio de convênios e instrumentos congêneres, bem como seus decretos regulamentadores, com suas alterações, a Lei do Marco Regulatório das Organizações da Sociedade Civil (MROSC), que estabelece o regime jurídico das parcerias entre a administração pública e as organizações da sociedade civil, em regime de mútua cooperação, para a consecução de finalidades de interesse público e recíproco e, no que couber, às demais legislações aplicadas à matéria, torna público o edital que regulamenta o processo de inscrição e seleção pública de instituição parceira para a realização do XI​ ​Encontro​ ​Mestres​ ​do​ ​Mundo​ ​ 2017","http://mapa.cultura.ce.gov.br/files/project/703/edital-xi-encontro-mestres-do-mundo-2017.pdf"
"2017-03-27","2017,Editais","XIX Edital Ceará Junino 2017","http://editais.cultura.ce.gov.br/wp-content/uploads/sites/18/2018/07/edital-festejos-junino-sem-marca.jpg","O Secretário da Cultura do Estado do Ceará, no uso de suas atribuições legais, e considerando a Lei nº 16.026, de 01 de junho de 2016, que institui o Plano Estadual da Cultura; bem como as normas e princípios alicerçados na Constituição Federal de 1988; a Lei Estadual Nº 13.811, de 16 de agosto de 2006, que Institui o Sistema Estadual de Cultura (Siec); a Lei nº 16.084, 27 de julho de 2016, que dispõe sobre as Diretrizes para a elaboração e execução da Lei Orçamentária para o exercício de 2017; o disposto na Lei Complementar nº 119, de 28 de dezembro de 2012, sobre regras para a transferência de recursos financeiros pelos órgãos e entidades do Poder Executivo Estadual por meio de convênios e instrumentos congêneres, bem como seus decretos regulamentadores; a Lei Federal nº 13.019, de 31 de julho de 2014, com suas alterações, a Lei do Marco Regulatório das Organizações da Sociedade Civil (MROSC), que estabelece o regime jurídico das parcerias entre a administração pública e as organizações da sociedade civil, em regime de mútua cooperação, para a consecução de finalidades de interesse público e recíproco; e, no que couber, às demais legislações aplicadas à matéria, torna público o processo de inscrição e seleção pública que regulamenta o XIX Edital Ceará Junino – 2017.","http://mapa.cultura.ce.gov.br/files/project/555/xix_edital_cear%C3%81_junino_%E2%80%93_2017.pdf"
"2017-01-28","2017,Editais,Incentivo às Artes","XI Edital de  Incentivo às Artes 2016 – Literatura","http://editais.cultura.ce.gov.br/wp-content/uploads/sites/18/2018/07/incentivo-as-artes-literatura-sem-marca.jpg","O Secretário da Cultura do Estado do Ceará, no uso de suas atribuições legais, e considerando a Lei nº 16.026 de 01 de junho de 2016, que institui o Plano Estadual da Cultura, bem como as normas e princípios alicerçados na Constituição Federal de 1988; a Lei Estadual Nº 13.811, de 16 de Agosto de 2006 que Institui o Sistema Estadual de Cultura (SIEC); Lei nº 16.084, 27 de julho de 2016, que dispõe sobre as Diretrizes para a elaboração e execução da Lei Orçamentária para o exercício de 2017; o disposto na Lei Complementar nº 119, de 28 de dezembro de 2012, sobre regras para a transferência de recursos financeiros pelos órgãos e entidades do poder executivo estadual por meio de convênios e instrumentos congêneres, bem como seus decretos regulamentadores; a Lei Federal nº 13.019, de 31 de julho de 2014, com suas alterações, Lei do Marco Regulatório das Organizações da Sociedade Civil (MROSC), que estabelece o regime jurídico das parcerias entre a administração pública e as organizações da sociedade civil, em regime de mútua cooperação, para a consecução de finalidades de interesse público e recíproco e, no que couber, às demais legislações aplicadas à matéria, torna público o Edital que regulamenta o processo de inscrição e seleção pública para o XI Edital de Incentivo às Artes 2016 – Literatura.","http://mapa.cultura.ce.gov.br/files/project/340/xi_edital_de_incentivo_a%CC%80s_artes_2016_-_literatura.pdf"
"2017-01-30","2017,Cinema e Vídeo,Editais","XIII Edital Ceará de Cinema e Vídeo","http://editais.cultura.ce.gov.br/wp-content/uploads/sites/18/2018/07/edital-cinema-e-video-card-sem-marca.jpg","A Secretária da Cultura do Estado do Ceará, no uso de suas atribuições legais, e considerando a Lei Estadual Nº 13.811, de 16 de agosto de 2006, que Institui o Sistema Estadual de Cultura (SIEC); a Lei Estadual nº 15.839, de 27 de julho de 2015, que dispõe sobre as Diretrizes Orçamentárias para o exercício de 2016; a Lei autorizativa nº 15.939, de 29 de dezembro de 2015; o disposto na Lei Complementar nº 119, de 28 de dezembro de 2012, sobre regras para a transferência de recursos financeiros pelos órgãos e entidades do Poder Executivo estadual por meio de convênios e instrumentos congêneres; a Lei Federal nº 13.019, de 31 de julho de 2014, com suas alterações, Lei do Marco Regulatório das Organizações da Sociedade Civil, que estabelece o regime jurídico das parcerias entre a administração pública e as organizações da sociedade civil, em regime de mútua cooperação, para a consecução de finalidades de interesse público e recíproco, e no que couber, às demaislegislações aplicadas à matéria; a Lei nº 16.026, de 1º de junho de 2016, que institui o Plano Estadual de Cultura do Ceará; além das disposições da Lei nº 11.437, de 28 de dezembro de 2006; do Decreto nº 6.299, de 12 de dezembro de 2007; do Regulamento Geral do Programa de Apoio ao Desenvolvimento da Indústria Audiovisual – PRODAV e em outras normas jurídicas pertinentes à matéria; torna público o conjunto de normas que regulamentam o processo de inscrição e seleção pública do XIII EDITAL CEARÁ DE CINEMA E VÍDEO – 2016.","http://mapa.cultura.ce.gov.br/files/project/220/xiii_edital_ceara%CC%81_de_cinema_e_vi%CC%81deo_2016_pdf.pdf"
"2017-02-20","2017,Ceará da Paixão,Editais","XIII Edital Ceará da Paixão 2017","http://editais.cultura.ce.gov.br/wp-content/uploads/sites/18/2018/07/edital-da-paixao-2017-sem-marca.jpg","O Secretário da Cultura do Estado do Ceará, no uso de suas atribuições legais, e considerando a Lei nº 16.026 de 01 de junho de 2016, que institui o Plano Estadual da Cultura, bem como as normas e princípios alicerçados na Constituição Federal de 1988; a Lei Estadual Nº 13.811, de 16 de Agosto de 2006, que Institui o Sistema Estadual de Cultura (SIEC); a Lei nº 16.084, 27 de julho de 2016, que dispõe sobre as Diretrizes para a elaboração e execução da Lei Orçamentária para o exercício de 2017; o disposto na Lei Complementar nº 119, de 28 de dezembro de 2012, sobre regras para a transferência de recursos financeiros pelos órgãos e entidades do Poder Executivo estadual por meio de convênios e instrumentos congêneres, bem como seus decretos regulamentadores; a Lei Federal nº 13.019, de 31 de julho de 2014, com suas alterações, a Lei do Marco Regulatório das Organizações da Sociedade Civil (MROSC), que estabelece o regime jurídico das parcerias entre a administração pública e as organizações da sociedade civil, em regime de mútua cooperação, para a consecução de finalidades de interesse público e recíproco e, no que couber, às demaislegislações aplicadas à matéria, torna público o processo de inscrição e seleção pública que regulamenta o XIII Edital Ceará da Paixão 2017.","http://mapa.cultura.ce.gov.br/files/project/287/xiii_edital_ceara_da_paixao_2017.pdf"
"2017-01-28","2017,Editais,Incentivo às Artes","XI Edital de Incentivo às Artes 2016 – Fotografia","http://editais.cultura.ce.gov.br/wp-content/uploads/sites/18/2018/07/incentivo-as-artes-fotografia-sem-marca.jpg","A Secretária da Cultura do Estado do Ceará, no uso de suas atribuições legais, e considerando a Lei nº 16.026 de 01 de junho de 2016, que institui o Plano Estadual da Cultura, bem como as normas e princípios alicerçados na Constituição Federal de 1988; a Lei Estadual Nº 13.811, de 16 de Agosto de 2006 que Institui o Sistema Estadual de Cultura (SIEC); Lei nº 16.084, 27 de julho de 2016, que dispõe sobre as Diretrizes para a elaboração e execução da Lei Orçamentária para o exercício de 2017; o disposto na Lei Complementar nº 119, de 28 de dezembro de 2012, sobre regras para a transferência de recursos financeiros pelos órgãos e entidades do poder executivo estadual por meio de convênios e instrumentos congêneres, bem como seus decretos regulamentadores; a Lei Federal nº 13.019, de 31 de julho de 2014, com suas alterações, Lei do Marco Regulatório das Organizações da Sociedade Civil (MROSC), que estabelece o regime jurídico das parcerias entre a administração pública e as organizações da sociedade civil, em regime de mútua cooperação, para a consecução de finalidades de interesse público e recíproco e, no que couber, às demais legislações aplicadas à matéria, torna público o Edital que regulamenta o processo de inscrição e seleção pública para o XI Edital de Incentivo  às  Artes  2016 – Fotografia.","http://mapa.cultura.ce.gov.br/files/project/338/xi_edital_de_incentivo_a%CC%80s_artes_2016_-_fotografia.pdf"
"2019-01-03","2019,Carnaval,Editais","XIII Edital Carnaval do Ceará","http://editais.cultura.ce.gov.br/wp-content/uploads/sites/18/2019/01/WhatsApp-Image-2019-01-03-at-19.42.34.jpeg","Na sua décima terceira edição, o Edital  Carnaval do Ceará se constitui como uma ação continuada de fomento à manutenção e renovação de grupos e manifestações próprias do ciclo carnavalesco como agremiações carnavalescas, bandas de música, dentre outras expressões da cultura tradicional popular. Esse Edital se insere nas políticas de reconhecimento e promoção do patrimônio imaterial Cearense voltado para o ciclo carnavalesco presentes em todas as regiões e municípios do estado. Dessa forma, o Edital tem apoiado a preservação de vários grupos e expressões da cultura tradicional popular, contribuindo de maneira efetiva na transmissão de saberes e fazeres entre gerações, estabelecendo sociabilidades entre mestres e aprendizes e na formação de novos brincantes, além de ampliar e democratizar o acesso a bens e serviços culturais para o conjunto da população em geral.","http://mapa.cultura.ce.gov.br/files/opportunity/1326/xiii-edital-carnaval-do-ceara-2019.pdf"
"2019-08-27","2019,Eleições CEPC","Eleições CEPC – 2020/2022","http://editais.cultura.ce.gov.br/wp-content/uploads/sites/18/2019/08/WhatsApp-Image-2019-08-27-at-10.18.17.jpeg","As inscrições para o credenciamento serão realizadas no período de 26 de agosto a 10 de outubro de 2019 até às 23h59 (vinte e três horas e cinquenta e nove minutos).","https://mapacultural.secult.ce.gov.br/files/opportunity/1611/edital_de_convoca%C3%A7%C3%A3o_elei%C3%A7%C3%A3o_cepc-ce_(2020-2022)_versao_final_26.08.2019.pdf"
