"date","tags","title","cover","summary","pdf"
"2018-12-19","2018,Editais,Sem categoria","Edital de Chamamento Público para a realização da Feira de Livros da XIII Bienal Internacional do Livro do Ceará","http://editais.cultura.ce.gov.br/wp-content/uploads/sites/18/2019/02/WhatsApp-Image-2019-02-04-at-17.57.05.jpeg","O edital da Secretaria da Cultura do Estado do Ceará (Secult) tem o objetivo de selecionar uma pessoa jurídica de direito privado, com fins econômicos, que celebrará Contrato com a Secult para disponibilização de estrutura, comercialização, montagem e desmontagem de estandes e gestão da Feira de Livros da XIII Bienal Internacional do Livro do Ceará 2019 conforme critérios e determinações expostos no Termo de Referência, anexo I. As inscrições estão abertas entre os dias 18 de dezembro e 11 de janeiro de 2019 e podem participar instituições situadas em qualquer uma das unidade da Federação.","http://mapa.cultura.ce.gov.br/files/opportunity/1320/edital_feira_de_livros_da_xiii_bienal_do_livro_do_ceara.pdf"
"2018-07-12","2018,Editais,Mestres do Mundo","Edital de Seleção do XII Encontro Mestres do Mundo – 2018","http://editais.cultura.ce.gov.br/wp-content/uploads/sites/18/2018/07/EDITAL-Mestre-da-Cultura5.jpg","EDITAL DE SELEÇÃO DO XII ENCONTRO MESTRES DO MUNDO – 2018","http://mapa.cultura.ce.gov.br/files/opportunity/1091/edital-xii-encontro-mestres-do-mundo.pdf"
"2018-12-08","2018,Editais","Prêmio Chico Albuquerque de Fotografia – Edição 2018","http://editais.cultura.ce.gov.br/wp-content/uploads/sites/18/2018/12/Prêmio-Chico-Albuqeruque.jpeg","O","http://mapa.cultura.ce.gov.br/files/project/1379/premio-chico-albuquerque-de-fotografia-edicao-2018.pdf"
"2018-09-12","2018,Editais,Natal de Luz","Chamada Pública para Credenciamento de Pareceristas do XV Edital Ceará Natal de Luz 2018","http://editais.cultura.ce.gov.br/wp-content/uploads/sites/18/2018/09/chamada-publica-natal-de-luz.jpg","O primeiro passo para inscrição neste edital é criar e/ou atualizar seu perfil de agente individual (Pessoa Física Proponente) por fim, você será direcionado para a ficha de inscrição para que possa cadastrar seu projeto.","http://mapa.cultura.ce.gov.br/files/opportunity/1243/chamada-pareceristas-ceara-natal-de-luz-2018.pdf"
"2019-01-02","2019,Editais","Edital de Chamada Pública para Realização do Programa de Formação em Artes Cênicas em Macrorregiões Culturais do Ceará","http://editais.cultura.ce.gov.br/wp-content/uploads/sites/18/2019/01/WhatsApp-Image-2018-12-27-at-15.09.55.jpeg","O Programa de Formação em Artes Cênicas em Macrorregiões Culturais do Ceará é um projeto que pretende contribuir com a democratização e a descentralização dos processos formativos das artes cênicas do Ceará, em nível avançado,possibilitando um fluxo formativo das artes cênicas aos municípios três macrorregiões do Vale do Jaguaribe, Vale do Acaraú e Metropolitana (Fortaleza), tendo como sede do percurso formativo as cidades de Russas, Sobral e Fortaleza.","http://mapa.cultura.ce.gov.br/files/opportunity/1323/edital_programa_formacao_artes_cenicas.pdf"
"2018-06-05","2018,Editais","Convocatória de Projetos Porto Dragão","http://editais.cultura.ce.gov.br/wp-content/uploads/sites/18/2018/07/Convocatoria-porto-dragao-defeso-2.jpg","Convocatória de Projetos Porto Dragão","http://mapa.cultura.ce.gov.br/files/opportunity/1047/convocatoria-de-projetos-porto-dragao-2.pdf"
"2018-06-06","2018,Editais","Formação e Seleção de Jurados e Presidentes de Mesa dos Festivais Regionais Ceará Junino 2018","http://editais.cultura.ce.gov.br/wp-content/uploads/sites/18/2018/07/seminario-ceara-junino-sem-marca.jpg","O candidato para participar da formação de jurado, obrigatoriamente deve possuir as seguintes características:","http://mapa.cultura.ce.gov.br/files/project/1012/chamada-pareceristas-ceara-junino-2018-2.pdf"
"2018-05-30","2018,Editais","Edital Toda Banda de Música é uma Escola","http://editais.cultura.ce.gov.br/wp-content/uploads/sites/18/2018/07/Edital-banda-Escola-de-musica-sem-brasão.jpg","Toda Banda de Música é uma Escola","http://mapa.cultura.ce.gov.br/files/opportunity/1027/edital_de_credenciamento_toda_banda_de_musica_e_uma_escola.pdf"
"2018-07-12","2018,Ocupação TCC","Edital de Chamamento Público do Programa de Ocupação Artística e Cultural do Teatro Carlos Câmara","http://editais.cultura.ce.gov.br/wp-content/uploads/sites/18/2018/07/Edital-cards-sem-marca2-.jpg","Constitui-se objeto do presente edital a seleção pública de 01 (uma) entidade de direito privado sem fins lucrativos para formalizar parceria com a Administração Pública, em regime de mútua cooperação, para realização de 01 (um) Programa de ocupação artística e cultural para o Teatro Carlos  Câmara (TCC), que contemple atividades de fomento à dinâmica de criação, produção, circulação, formação e fruição cultural, envolvendo prioritariamente artistas, grupos, companhias e coletivos do Ceará.","http://mapa.cultura.ce.gov.br/files/opportunity/1065/edital-de-ocupacao-do-tcc-2018.pdf"
"2018-06-06","2018,Editais,Ocupação TJA","Chamada de Ocupação Artística do Theatro José de Alencar 2018","http://editais.cultura.ce.gov.br/wp-content/uploads/sites/18/2018/07/TJA-sem-marca.png","Constitui objeto desta Chamada a seleção de propostas para ocupação dos espaços do Theatro José de Alencar e do Anexo CENA através de composição da programação e outras ações de ocupação artística-cultural.","http://mapa.cultura.ce.gov.br/files/opportunity/1040/regulamento-chamada-ocupa%C3%A7%C3%A3o-tja-2018.pdf"
